"latitude","longitude","confidence"
-34.34,118.361,100
-34.342,118.373,98
-34.319,118.179,88
-34.334,118.264,90
-34.336,118.276,100
-34.338,118.288,97
-34.346,118.336,100
-34.323,118.141,100
-34.325,118.153,99
-34.329,118.177,88
-34.345,118.274,88
-34.347,118.286,100
-34.349,118.298,100
-34.334,118.151,94
-34.354,118.272,70
-34.357,118.284,100
-34.359,118.297,82
-34.364,118.27,100
-34.366,118.282,100
-34.369,118.275,100
-34.371,118.287,100
-34.379,118.273,98
-34.381,118.284,100
-34.397,118.092,100
-34.399,118.104,96
-34.405,118.077,73
-34.407,118.089,100
-34.409,118.101,100
-34.416,118.087,100
-34.418,118.099,100
-34.428,118.16,92
-34.43,118.172,100
-34.432,118.184,84
-34.434,118.133,93
-34.436,118.145,100
-34.438,118.157,100
-34.44,118.169,100
-34.442,118.181,100
-34.439,118.138,100
-34.441,118.15,100
-34.443,118.162,100
-34.445,118.174,100
-34.448,118.135,80
-33.239,150.953,67
-32.582,150.583,87
-32.584,150.575,90
-31.607,151.232,65
-31.494,151.352,88
-31.497,151.304,100
-31.48,151.308,83
-31.418,151.807,80
-31.42,151.765,86
-31.395,151.923,79
-31.401,151.807,92
-31.404,151.764,100
-31.491,151.344,95
-31.494,151.297,100
-31.429,151.799,65
-31.412,151.8,94
-31.415,151.756,95
-31.388,151.917,76
-31.395,151.799,95
-31.398,151.756,100
-31.35,151.717,78
-31.345,151.713,79
-30.525,150.85,93
-30.508,150.85,71
-30.525,150.846,91
-29.465,152.132,70
-29.447,152.166,82
-29.453,152.159,91
-29.456,152.122,68
-29.403,152.187,68
-29.408,152.118,67
-29.312,151.997,81
-26.309,150.467,83
-26.311,150.425,96
-26.306,150.459,91
-26.309,150.417,93
-37.602,149.422,92
-37.608,149.393,99
-37.613,149.422,68
-37.599,149.417,100
-37.606,149.388,100
-37.603,147.948,69
-37.548,147.898,66
-37.553,147.874,94
-37.558,147.85,83
-37.541,147.869,75
-37.524,147.63,91
-37.504,147.598,75
-33.199,138.076,89
-32.024,135.922,86
-32.039,135.774,91
-30.775,132.854,88
-30.719,132.96,75
-30.721,132.944,97
-30.719,132.955,87
-30.708,132.953,92
-29.128,131.327,95
-29.13,131.308,80
-29.116,131.325,100
-29.118,131.306,94
-29.104,131.324,100
-29.106,131.305,94
-29.092,131.322,100
